depth,variant,block,stage,position,act_rms,grad_norm,weight_norm,relative
32,resnet,1,stage1,0.07142857142857142,1.3185414373874664,0.5274181803506055,7.934453184231644,0.06647190021850001
32,resnet,2,stage1,0.14285714285714285,1.596089392900467,0.3881107476736762,7.900384951519904,0.0491255489517647
32,resnet,3,stage1,0.21428571428571427,1.8006413727998734,0.3230154547585252,8.143423232858703,0.039665807059512545
32,resnet,4,stage1,0.2857142857142857,1.9990824311971664,0.2909567598474516,7.921389231939787,0.03673052179714722
32,resnet,5,stage2,0.35714285714285715,1.6636425405740738,0.396822676930878,9.862723723413566,0.04023459320763926
32,resnet,6,stage2,0.42857142857142855,1.8468448370695114,0.4039047232089815,11.212845377456171,0.03602160821918106
32,resnet,7,stage2,0.5,2.065935641527176,0.3321942080339707,11.286015315119647,0.02943414471438266
32,resnet,8,stage2,0.5714285714285714,2.2809538543224335,0.3109883370472478,11.264482797397806,0.027607866480926124
32,resnet,9,stage2,0.6428571428571429,2.442667841911316,0.29350444355115,11.320321598404728,0.02592721779145488
32,resnet,10,stage3,0.7142857142857143,1.9186550378799438,0.42780787902533474,13.910734743613572,0.030753794598933147
32,resnet,11,stage3,0.7857142857142857,2.0910843312740326,0.413211832423654,16.03266814207499,0.02577311703591309
32,resnet,12,stage3,0.8571428571428571,2.2406522929668427,0.4272306309827982,15.954450621344073,0.026778147435001207
32,resnet,13,stage3,0.9285714285714286,2.402433544397354,0.413705506399207,15.991017204217684,0.02587111883602319
32,resnet,14,stage3,1.0,2.5540300011634827,0.40950523396962535,15.939305102279544,0.025691536195706573
32,plain,0,stage1,0.0,0.7347188964486122,5.751047155660126,7.961041480705871,0.7223988431159645
32,plain,1,stage1,0.07142857142857142,0.6812819167971611,3.9436098446395222,7.934453184231644,0.4970235192107209
32,plain,2,stage1,0.14285714285714285,0.7009255737066269,2.835970136156102,7.900384951519904,0.3589660698255606
32,plain,3,stage1,0.21428571428571427,0.6850764453411102,1.9769168049550196,8.143423232858703,0.24276237995075126
32,plain,4,stage1,0.2857142857142857,0.6836267709732056,1.489278811063377,7.921389231939787,0.1880072759281244
32,plain,5,stage2,0.35714285714285715,0.7022561356425285,1.4231487792071673,9.862723723413566,0.14429571577967756
32,plain,6,stage2,0.42857142857142855,0.6921959742903709,1.0272308532404575,11.212845377456171,0.09161196990246044
32,plain,7,stage2,0.5,0.712016299366951,0.7248586617545097,11.286015315119647,0.06422626954824624
32,plain,8,stage2,0.5714285714285714,0.7380311787128448,0.5019173192850639,11.264482797397806,0.04455751127792669
32,plain,9,stage2,0.6428571428571429,0.696798786520958,0.37276798604158046,11.320321598404728,0.03292909859505328
32,plain,10,stage3,0.7142857142857143,0.7045169249176979,0.3769646707369621,13.910734743613572,0.027098832497688654
32,plain,11,stage3,0.7857142857142857,0.6858442574739456,0.2840520563094784,16.03266814207499,0.017717079514920693
32,plain,12,stage3,0.8571428571428571,0.6985010355710983,0.21151233517630216,15.954450621344073,0.013257262202017674
32,plain,13,stage3,0.9285714285714286,0.7000641524791718,0.1713158976575424,15.991017204217684,0.010713258291808808
32,plain,14,stage3,1.0,0.6958255171775818,0.2143357349627644,15.939305102279544,0.013446993679298564
56,resnet,0,stage1,0.0,1.0675486624240875,1.3972759816975313,7.817213299907142,0.1787434892833395
56,resnet,1,stage1,0.038461538461538464,1.3580493181943893,0.9384086890725494,7.912873641076518,0.11859265440574913
56,resnet,2,stage1,0.07692307692307693,1.6225696057081223,0.7465028126624673,8.012657880492243,0.09316544195402578
